period_start(min),period_end(min),electricity consumption(kwh)
0,15,0.00125
15,30,0.00125
30,45,0.00125
45,60,0.00125
60,75,0.00125
75,90,0.00125
90,105,0.00125
105,120,0.02125
120,135,0.04625
135,150,0.0575
150,165,0.0575
165,180,0.0575
180,195,0.0575
195,210,0.0575
210,225,0.0575
225,240,0.0575
240,255,0.0575
255,270,0.0575
270,285,0.0575
285,300,0.0575
300,315,0.0625
315,330,0.0575
330,345,0.0575
345,360,0.03875
360,375,0.03875
375,390,0.03875
390,405,0.03375
405,420,0.03875
420,435,0.07875
435,450,0.08875
450,465,0.08875
465,480,0.1025
480,495,0.1075
495,510,0.1075
510,525,0.1075
525,540,0.3075
540,555,0.3575
555,570,0.3275
570,585,0.32
585,600,0.08666666666666667
600,615,0.07
615,630,0.07
630,645,0.07
645,660,0.07
660,675,0.07
675,690,0.07
690,705,0.07
705,720,0.25666666666666665
720,735,0.17625
735,750,0.37625
750,765,0.12625
765,780,0.04541666666666667
780,795,0.02
795,810,0.045
810,825,0.2575
825,840,0.17416666666666666
840,855,0.0575
855,870,0.0575
870,885,0.07416666666666667
885,900,0.3125
900,915,0.145
915,930,0.31166666666666665
930,945,0.21166666666666667
945,960,0.095
960,975,0.09
975,990,0.17416666666666666
990,1005,0.2575
1005,1020,0.0525
1020,1035,0.02
1035,1050,0.02
1050,1065,0.03
1065,1080,0.03875
1080,1095,0.08208333333333333
1095,1110,0.09875
1110,1125,0.18458333333333332
1125,1140,0.2575
1140,1155,0.3616666666666667
1155,1170,0.395
1170,1185,0.395
1185,1200,0.5283333333333333
1200,1215,0.5116666666666667
1215,1230,0.145
1230,1245,0.1075
1245,1260,0.0875
1260,1275,0.105
1275,1290,0.1075
1290,1305,0.1075
1305,1320,0.1075
1320,1335,0.1025
1335,1350,0.065
1350,1365,0.05125
1365,1380,0.05125
1380,1395,0.05125
1395,1410,0.05125
1410,1425,0.08375
1425,1440,0.08375
